Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,05:43:00,4432.5,4433.25,4432.25,4433.25,59,4432.46124729326,4431.5583797668,4396.20571512042
2013-01-02,05:44:00,4433.5,4433.5,4432.75,4433,43,4432.56899783461,4431.68943615163,4396.53869507408
2013-01-02,05:45:00,4433,4433,4432,4432,32,4432.45519826769,4431.71766922876,4396.85961186074
2013-01-02,05:46:00,4432.25,4432.25,4431.75,4432,29,4432.36415861415,4431.74333566251,4397.17762442309
2013-01-02,05:47:00,4432.25,4432.25,4430.75,4431.25,56,4432.14132689132,4431.69848696592,4397.48597171338
2013-01-02,05:48:00,4431.25,4431.75,4431.25,4431.75,71,4432.06306151306,4431.70316996902,4397.79605341733
2013-01-02,05:49:00,4432,4432,4431.25,4431.5,71,4431.95044921045,4431.68469997183,4398.10106650857
2013-01-02,05:50:00,4431.25,4431.25,4430.75,4431,143,4431.76035936836,4431.62245451985,4398.39879441347
2013-01-02,05:51:00,4430.75,4431,4429.75,4429.75,67,4431.35828749469,4431.45223138168,4398.682515731
2013-01-02,05:52:00,4430,4430.5,4430,4430.5,206,4431.18662999575,4431.36566489244,4398.97045676511
2013-01-02,05:53:00,4430.5,4430.5,4429.75,4429.75,50,4430.8993039966,4431.21878626585,4399.24900466769
2013-01-02,05:54:00,4430,4430,4429.5,4429.5,12,4430.61944319728,4431.06253296895,4399.52276933133
2013-01-02,05:55:00,4429.75,4429.75,4429.5,4429.5,62,4430.39555455782,4430.92048451723,4399.7940564867
2013-01-02,05:56:00,4429.25,4429.5,4429.25,4429.5,52,4430.21644364626,4430.79134956112,4400.06288855469
2013-01-02,05:57:00,4429.25,4429.25,4428.5,4428.5,121,4429.87315491701,4430.58304505556,4400.32023797954
2013-01-02,05:58:00,4428.75,4428.75,4428,4428.5,52,4429.59852393361,4430.39367732324,4400.57525845031
2013-01-02,05:59:00,4428.5,4428.75,4428.5,4428.5,38,4429.37881914689,4430.22152483931,4400.82797104352
2013-01-02,06:00:00,4428.5,4428.5,4428,4428,108,4429.10305531751,4430.01956803574,4401.07387175806
2013-01-02,06:01:00,4428.25,4430,4428.25,4429.75,304,4429.23244425401,4429.99506185067,4401.33338423084
2013-01-02,06:02:00,4429.5,4429.5,4429.25,4429.25,34,4429.23595540321,4429.92732895515,4401.58602328757
2013-01-02,06:03:00,4429.25,4429.75,4429.25,4429.75,49,4429.33876432257,4429.91120814105,4401.84090090488
2013-01-02,06:04:00,4429.5,4429.5,4429,4429,39,4429.27101145805,4429.82837103732,4402.0866846071
2013-01-02,06:05:00,4429,4429.5,4429,4429.5,21,4429.31680916644,4429.79851912483,4402.3347689093
2013-01-02,06:06:00,4429.5,4430,4429.25,4430,54,4429.45344733315,4429.81683556803,4402.58513299156
2013-01-02,06:07:00,4430.25,4430.75,4430.25,4430.5,32,4429.66275786652,4429.87894142548,4402.83775622241
2013-01-02,06:08:00,4430.5,4430.5,4430.25,4430.5,22,4429.83020629322,4429.93540129589,4403.08809327017
2013-01-02,06:09:00,4430.25,4430.5,4429.75,4429.75,149,4429.81416503458,4429.91854663263,4403.32937749397
2013-01-02,06:10:00,4429.75,4430.5,4429.75,4430.5,108,4429.95133202766,4429.97140602966,4403.57526548045
2013-01-02,06:11:00,4430.5,4430.5,4429.75,4429.75,101,4429.91106562213,4429.95127820878,4403.81214090597
